ID,MATCH CENTER,DATE,DAY,TIME (IST),STADIUM,CITY,STATE,find,a,b,venue_id,,
1,Mumbai Indians (MI) Vs Delhi Capitals (DC),11-Apr-21,Sunday,7:30 PM,Wankhede Stadium,Mumbai,Maharashtra.,21,Mumbai Indians,Delhi Capitals,34,,
2,Delhi Capitals (DC) Vs Kings XI Punjab (KXIP),12-Apr-21,Monday,7:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Kings XI Punjab,1,,
3,Sun Risers Hyderabad (SRH) Vs Royal Challengers Bangalore (RCB),13-Apr-21,Tuesday,7:30 PM,R.G.I. Cricket Stadium,Hyderabad,Telangana.,28,Sunrisers Hyderabad ,Royal Challengers Bangalore,24,,
4,Rajasthan Royals (RR) Vs Chennai Super Kings (CSK),14-Apr-21,Wednesday,7:30 PM,Sawai Mansingh Stadium,Jaipur,Rajasthan,23,Rajasthan Royals,Chennai Super Kings,26,,
5,Kolkata Knight Riders (KKR) Vs Mumbai Indians (MI),15-Apr-21,Thursday,7:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Mumbai Indians,9,,
6,Kings XI Punjab (KXIP) Vs Royal Challengers Bangalore (RCB),16-Apr-21,Friday,7:30 PM,PCA Stadium ,Mohali,Punjab,24,Kings XI Punjab,Royal Challengers Bangalore,23,,
7,Chennai Super Kings (CSK) Vs Delhi Capitals (DC),17-Apr-21,Saturday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Delhi Capitals,17,,
8,Kolkata Knight Riders (KKR) Vs Sun Risers Hyderabad (SRH),18-Apr-21,Sunday,3:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Sun Risers Hyderabad,9,,
9,Rajasthan Royals (RR) Vs Kings XI Punjab (KXIP),18-Apr-21,Sunday,7:30 PM,Sawai Mansingh Stadium,Jaipur,Rajasthan,23,Rajasthan Royals,Kings XI Punjab,26,,
10,Royal Challengers Bangalore (RCB) Vs Mumbai Indians (MI),19-Apr-21,Monday,7:30 PM,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,35,Royal Challengers Bangalore ,Mumbai Indians,16,,
11,Delhi Capitals (DC) Vs Sun Risers Hyderabad (SRH),20-Apr-21,Tuesday,7:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Sun Risers Hyderabad,1,,
12,Rajasthan Royals (RR) Vs Kolkata Knight Riders (KKR),21-Apr-21,Wednesday,7:30 PM,Sawai Mansingh Stadium,Jaipur,Rajasthan,23,Rajasthan Royals,Kolkata Knight Riders,26,,
13,Kings XI Punjab (KXIP) Vs Mumbai Indians (MI),22-Apr-21,Thursday,3:30 PM,PCA Stadium ,Mohali,Punjab,24,Kings XI Punjab,Mumbai Indians,23,,
14,Chennai Super Kings (CSK) Vs Sun Risers Hyderabad (SRH),23-Apr-21,Friday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Sun Risers Hyderabad,17,,
15,Royal Challengers Bangalore (RCB) Vs Rajasthan Royals (RR),24-Apr-21,Saturday,7:30 PM,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,35,Royal Challengers Bangalore ,Rajasthan Royals,16,,
16,Delhi Capitals (DC) Vs Kolkata Knight Riders (KKR),25-Apr-21,Sunday,3:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Kolkata Knight Riders,1,,
17,Mumbai Indians (MI) Vs Sun Risers Hyderabad (SRH),25-Apr-21,Sunday,7:30 PM,Wankhede Stadium,Mumbai,Maharashtra.,21,Mumbai Indians,Sun Risers Hyderabad,34,,
18,Kings XI Punjab (KXIP) Vs Chennai Super Kings (CSK),26-Apr-21,Monday,7:30 PM,PCA Stadium ,Mohali,Punjab,24,Kings XI Punjab,Chennai Super Kings,23,,
19,Royal Challengers Bangalore (RCB) Vs Delhi Capitals (DC),27-Apr-21,Tuesday,7:30 PM,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,35,Royal Challengers Bangalore ,Delhi Capitals,16,,
20,Mumbai Indians (MI) Vs Rajasthan Royals (RR),28-Apr-21,Wednesday,7:30 PM,Wankhede Stadium,Mumbai,Maharashtra.,21,Mumbai Indians,Rajasthan Royals,34,,
21,Kolkata Knight Riders (KKR) Vs Chennai Super Kings (CSK),29-Apr-21,Thursday,7:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Chennai Super Kings,9,,
22,Sun Risers Hyderabad (SRH) Vs Kings XI Punjab (KXIP),30-Apr-21,Friday,7:30 PM,R.G.I. Cricket Stadium,Hyderabad,Telangana.,28,Sunrisers Hyderabad ,Kings XI Punjab,24,,
23,Rajasthan Royals (RR) Vs Delhi Capitals (DC),01-May-21,Saturday,7:30 PM,Sawai Mansingh Stadium,Jaipur,Rajasthan,23,Rajasthan Royals,Delhi Capitals,26,,
24,Kings XI Punjab (KXIP) Vs Kolkata Knight Riders (KKR),02-May-21,Sunday,3:30 PM,PCA Stadium ,Mohali,Punjab,24,Kings XI Punjab,Kolkata Knight Riders,23,,
25,Chennai Super Kings (CSK) Vs Royal Challengers Bangalore (RCB),02-May-21,Sunday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Royal Challengers Bangalore,17,,
26,Sun Risers Hyderabad (SRH) Vs Rajasthan Royals (RR),03-May-21,Monday,7:30 PM,R.G.I. Cricket Stadium,Hyderabad,Telangana.,28,Sunrisers Hyderabad ,Rajasthan Royals,24,,
27,Mumbai Indians (MI) Vs Chennai Super Kings (CSK),04-May-21,Tuesday,7:30 PM,Wankhede Stadium,Mumbai,Maharashtra.,21,Mumbai Indians,Chennai Super Kings,34,,
28,Royal Challengers Bangalore (RCB) Vs Kolkata Knight Riders (KKR),05-May-21,Wednesday,7:30 PM,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,35,Royal Challengers Bangalore ,Kolkata Knight Riders,16,,
29,Sun Risers Hyderabad (SRH) Vs Chennai Super Kings (CSK),06-May-21,Thursday,7:30 PM,R.G.I. Cricket Stadium,Hyderabad,Telangana.,28,Sunrisers Hyderabad ,Chennai Super Kings,24,,
30,Delhi Capitals (DC) Vs Rajasthan Royals (RR),07-May-21,Friday,7:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Rajasthan Royals,1,,
31,Royal Challengers Bangalore (RCB) Vs Kings XI Punjab (KXIP),08-May-21,Saturday,7:30 PM,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,35,Royal Challengers Bangalore ,Kings XI Punjab,16,,
32,Mumbai Indians (MI) Vs Kolkata Knight Riders (KKR),09-May-21,Sunday,3:30 PM,Wankhede Stadium,Mumbai,Maharashtra.,21,Mumbai Indians,Kolkata Knight Riders,34,,
33,Rajasthan Royals (RR) Vs Royal Challengers Bangalore (RCB),09-May-21,Sunday,7:30 PM,Sawai Mansingh Stadium,Jaipur,Rajasthan,23,Rajasthan Royals,Royal Challengers Bangalore,26,,
34,Delhi Capitals (DC) Vs Chennai Super Kings (CSK),10-May-21,Monday,7:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Chennai Super Kings,1,,
35,Sun Risers Hyderabad (SRH) Vs Kolkata Knight Riders (KKR),11-May-21,Tuesday,7:30 PM,R.G.I. Cricket Stadium,Hyderabad,Telangana.,28,Sunrisers Hyderabad ,Kolkata Knight Riders,24,,
36,Mumbai Indians (MI) Vs Kings XI Punjab (KXIP),12-May-21,Wednesday,7:30 PM,Wankhede Stadium,Mumbai,Maharashtra.,21,Mumbai Indians,Kings XI Punjab,34,,
37,Chennai Super Kings (CSK) Vs Rajasthan Royals (RR),13-May-21,Thursday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Rajasthan Royals,17,,
38,Kings XI Punjab (KXIP) Vs Delhi Capitals (DC),14-May-21,Friday,7:30 PM,PCA Stadium ,Mohali,Punjab,24,Kings XI Punjab,Delhi Capitals,23,,
39,Kolkata Knight Riders (KKR) Vs Royal Challengers Bangalore (RCB),15-May-21,Saturday,7:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Royal Challengers Bangalore,9,,
40,Rajasthan Royals (RR) Vs Sun Risers Hyderabad (SRH),16-May-21,Sunday,3:30 PM,Sawai Mansingh Stadium,Jaipur,Rajasthan,23,Rajasthan Royals,Sun Risers Hyderabad,26,,
41,Chennai Super Kings (CSK) Vs Mumbai Indians (MI),16-May-21,Sunday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Mumbai Indians,17,,
42,Kolkata Knight Riders (KKR) Vs Delhi Capitals (DC),17-May-21,Monday,7:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Delhi Capitals,9,,
43,Kings XI Punjab (KXIP) Vs Sun Risers Hyderabad (SRH),18-May-21,Tuesday,7:30 PM,PCA Stadium ,Mohali,Punjab,24,Kings XI Punjab,Sun Risers Hyderabad,23,,
44,Royal Challengers Bangalore (RCB) Vs Chennai Super Kings (CSK),19-May-21,Wednesday,7:30 PM,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,35,Royal Challengers Bangalore ,Chennai Super Kings,16,,
45,Rajasthan Royals (RR) Vs Mumbai Indians (MI),20-May-21,Thursday,7:30 PM,Sawai Mansingh Stadium,Jaipur,Rajasthan,23,Rajasthan Royals,Mumbai Indians,26,,
46,Kolkata Knight Riders (KKR) Vs Kings XI Punjab (KXIP),21-May-21,Friday,7:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Kings XI Punjab,9,,
47,Sun Risers Hyderabad (SRH) Vs Delhi Capitals (DC),22-May-21,Saturday,7:30 PM,R.G.I. Cricket Stadium,Hyderabad,Telangana.,28,Sunrisers Hyderabad ,Delhi Capitals,24,,
48,Mumbai Indians (MI) Vs Royal Challengers Bangalore (RCB),23-May-21,Sunday,3:30 PM,Wankhede Stadium,Mumbai,Maharashtra.,21,Mumbai Indians,Royal Challengers Bangalore,34,,
49,Chennai Super Kings (CSK) Vs Kolkata Knight Riders (KKR),23-May-21,Sunday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Kolkata Knight Riders,17,,
50,Kings XI Punjab (KXIP) Vs Rajasthan Royals (RR),24-May-21,Monday,7:30 PM,PCA Stadium ,Mohali,Punjab,24,Kings XI Punjab,Rajasthan Royals,23,,
51,Delhi Capitals (DC) Vs Mumbai Indians (MI),25-May-21,Tuesday,7:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Mumbai Indians,1,,
52,Royal Challengers Bangalore (RCB) Vs Sun Risers Hyderabad (SRH),26-May-21,Thursday,7:30 PM,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,35,Royal Challengers Bangalore ,Sun Risers Hyderabad,16,,
53,Chennai Super Kings (CSK) Vs Kings XI Punjab (KXIP),27-May-21,Thursday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Kings XI Punjab,17,,
54,Kolkata Knight Riders (KKR) Vs Rajasthan Royals (RR),28-May-21,Friday,7:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Rajasthan Royals,9,,Rajasthan Royals
55,Delhi Capitals (DC) Vs Royal Challengers Bangalore (RCB),29-May-21,Saturday,7:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Royal Challengers Bangalore,1,,
56,Sun Risers Hyderabad (SRH) Vs Mumbai Indians (MI),30-May-21,Sunday,7:30 PM,R.G.I. Cricket Stadium,Hyderabad,Telangana.,28,Sunrisers Hyderabad ,Mumbai Indians,24,,
